Saludos usuario Premium limitado con ID 88, has buscado la palabra 'Nube' en los archivos:
./resources/Libros/prueba2.txt
./resources/Libros/La-última-sirena.txt
./resources/Libros/21-LEYES-DEL-LIDERAZGO.txt


RESULTADOS:

Buscador: 1 Hilo: 0 no pudo encontrar ningun resultado en el archivo./resources/Libros/prueba2.txt
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 11996 --> las Nube comenzaban
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 12147 -->  n Nube que
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 12168 --> sin Nube �stino.
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 12890 --> de Nube francesas
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 12892 --> esas Nube y
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 12909 --> aquellas Nube gordas
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13063 --> cielo Nube color
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13078 --> Las Nube  s
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13121 --> Las Nube se
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13192 --> esas Nube La
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13215 --> de Nube negras
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13218 --> Las Nube gían
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13246 --> las Nube estaban
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13292 --> horribles Nube ía
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13680 --> una Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 13826 --> de Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 14149 -->  n Nube burbujeaban
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 14296 --> Las Nube de
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 14302 --> no Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 14443 --> de Nube Sin
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 14679 --> nube Nube de
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 14930 --> de Nube no_word
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 15400 --> las Nube  negra
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 15436 --> las Nube eran
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 15448 --> las Nube Su
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 15474 --> e c Nube cristalina
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 15483 --> nube Nube de
Buscador: 1 Hilo: 1 Archivo: ./resources/Libros/La-última-sirena.txt Linea: 15498 --> nube Nube de

AVISO: Durante tu busqueda se han realizado 17 recargas de saldo.

El tiempo total de la busqueda ha sido  0.025473 segundos.

