Saludos usuario Premium limitado con ID 1, has buscado la palabra 'Grupo' en los archivos:
../resources/Libros/SEAMOS-PERSONAS-DE-INFLUENCIA.txt
../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt
../resources/Libros/prueba.txt


RESULTADOS:

Buscador: 0 Hilo: 2 no pudo encontrar ningun resultado en el archivo../resources/Libros/prueba.txt
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1107 --> grupo Grupo a
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1109 --> grupo Grupo  d
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1117 --> grupo Grupo al
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1123 --> grupo Grupo era
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1127 --> grupo Grupo de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1175 --> en Grupo de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1264 --> grupo Grupo de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1276 --> en Grupo ueños.
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1320 --> grupo Grupo de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1419 --> grupo Grupo  d
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1482 --> sus Grupo Como
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1937 --> pequeñ Grupo de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1961 --> grupo Grupo de
Buscador: 0 Hilo: 1 Archivo: ../resources/Libros/21-LEYES-DEL-LIDERAZGO.txt Linea: 1962 --> grupo Grupo se
